MiMoText Label (fr)	cultural pessimism	MiMoText Label (de)	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (en)	Wikidata Label (de)	Quelle
chevalerie	chivalry	Ritterlichkeit	Q1056721	https://www.wikidata.org/wiki/Q1056721	chevalerie	chivalry	Ritterlichkeit	BGRF
chimie	chemistry	Chemie	Q2329	https://www.wikidata.org/wiki/Q2329	Chimie	chemistry	Chemie	DEL
Chine	China	China	Q29520	https://www.wikidata.org/wiki/Q29520	chine	china	China	DEL
chirurgie	surgery	Chirurgie	Q40821	https://www.wikidata.org/wiki/Q40821	Chirurgie	surgery	Chirurgie	DEL
christianisme	Christianity	Christentum	Q5043	https://www.wikidata.org/wiki/Q5043	christianisme	Christianity	Christentum	Seklit
citoyenneté	citizenship	Staatsbürgerschaft	Q42138	https://www.wikidata.org/wiki/Q42138	citoyenneté	citizenship	Staatsbürgerschaft	DEL
civilisation	civilization	Zivilisation	Q8432	https://www.wikidata.org/wiki/Q8432	Civilisation	civilization	Zivilisation	DEL
classe sociale	social class	soziale Klasse	Q187588	https://www.wikidata.org/wiki/Q187588	Classe sociale	social class	soziale Klasse	DEL
classicisme	classicism	Klassizismus	Q170292	https://www.wikidata.org/wiki/Q170292	classicisme	classicism	Klassizismus	DEL
classification	classification	Klassifizierung	Q13582682	https://www.wikidata.org/wiki/Q13582682	classification	classification	Klassifizierung	DEL
clergé	clergy	Klerus	Q177826	https://www.wikidata.org/wiki/Q177826	Clergé	clergy	Klerus	DEL
collectivisme	collectivism	Kollektivismus	Q237789	https://www.wikidata.org/wiki/Q237789	collectivisme politique	collectivism	Kollektivismus	Seklit
colonialisme	colonialism	Kolonialismus	Q7167	https://www.wikidata.org/wiki/Q7167	Colonialisme	colonialism	Kolonialismus	DEL
colportage	colportage	Kolportage	Q154273	https://www.wikidata.org/wiki/Q154273	colportage	colportage	Kolportage	DEL
comédie	comedy	Komödie	Q40831	https://www.wikidata.org/wiki/Q40831	Comédie	comedy	Komödie	DEL
Commedia dell'arte	Commedia dell'arte	Commedia dell’arte	Q191890	https://www.wikidata.org/wiki/Q191890	Commedia dell'arte	Commedia dell'arte	Commedia dell’arte	DEL
commerce	commerce	Handel	Q26643	https://www.wikidata.org/wiki/Q26643	Commerce	commerce	Kommerz	DEL
communauté	community	Gemeinschaft	Q177634	https://www.wikidata.org/wiki/Q177634	communauté	community	Gemeinschaft	Seklit
confrérie	confraternity	Bruderschaft	Q992253	https://www.wikidata.org/wiki/Q992253	confrérie	confraternity	Bruderschaft	DEL
conte	conte	Erzählung	Q7679101	https://www.wikidata.org/wiki/Q7679101	Conte	conte	Conte	DEL
conte merveilleux/de fées	fairy tale	Märchen	Q699	https://www.wikidata.org/wiki/Q699	conte merveilleux	fairy tale	Märchen	BGRF
contingence	contingency	Kontingenz	Q1359069	https://www.wikidata.org/wiki/Q1359069	contingence	contingency	Kontingenz	DEL
Contrat social	social contract	Sozialvertrag	Q1326430	https://www.wikidata.org/wiki/Q1326430	contrat coscial	social contract	Sozialvertrag	DEL
contre-révolution	counter-revolution	Gegenrevolution	Q755138	https://www.wikidata.org/wiki/Q755138	Contre-révolution	counter-revolution	Konterrevolution	DEL
conversation	conversation	Konversation	Q52943	https://www.wikidata.org/wiki/Q52943	conversation	conversation	Konversation	DEL
conversion religieuse	religious conversion	Konversion	Q904756	https://www.wikidata.org/wiki/Q904756	conversion religieuse	religious conversion	Konversion	Seklit
corporation	corporation	Zunft	Q170161	https://www.wikidata.org/wiki/Q170161	guild	corporation	Zunft	DEL
