DEL komplett + Topic Modeling	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (de)	Wikidata Label (en)
Corporation	Q170161	https://www.wikidata.org/wiki/Q170161	guild	Zunft	corporation
"Corps "	Q170494	https://www.wikidata.org/wiki/Q170494	corps	Körper	body
"Correspondance "	Q1784733	https://www.wikidata.org/wiki/Q1784733	correspondance	Korrespondenz	correspondence
Correspondance littéraire	Q2250271	https://www.wikidata.org/wiki/Q2250271	Correspondance littéraire	Briefliteratur	Correspondance littéraire
"Cosmopolitisme "	Q188843	https://www.wikidata.org/wiki/Q188843	"Cosmopolitisme "	Kosmopolitismus	cosmopolitanism
"Couleur "	Q1075	https://www.wikidata.org/wiki/Q1075	couleur	Farbe	color
"Cour "	Q1134237	https://www.wikidata.org/wiki/Q1134237	cour	Hofstaat	court
"Critique d'art "	Q1143847	https://www.wikidata.org/wiki/Q1143847	Critique d‘art	Kunstkritik	Art criticism
"Culture populaire "	Q131265	https://www.wikidata.org/wiki/Q131265	Culture populaire	Popkultur	Popular culture
"Danemark "	Q35	https://www.wikidata.org/wiki/Q35	Danemark	Dänemark	denmark
"Danse "	Q11639	https://www.wikidata.org/wiki/Q11639	Danse	Tanz	dance
déchristianisation	Q1344444	https://www.wikidata.org/wiki/Q1344444	déchristianisation	Entchristianisierung	Dechristianisation of France during the French Revolution
"décoration "	Q11796413	https://www.wikidata.org/wiki/Q11796413	décoration	Orden und Ehrenzeichen	decoration
"déisme "	Q620629	https://www.wikidata.org/wiki/Q620629	déisme	Deismus	deism
"démographie "	Q37732	https://www.wikidata.org/wiki/Q37732	démographie	Demografie	demography
"Dessin "	Q93184	https://www.wikidata.org/wiki/Q93184	Dessin	Zeichnung	Drawing
"Diable "	Q6674	https://www.wikidata.org/wiki/Q6674	diable	Teufel	devil
"Dialogue "	Q131395	https://www.wikidata.org/wiki/Q131395	Dialogue	Dialog	Dialogue
"Dictionnaire "	Q23622	https://www.wikidata.org/wiki/Q23622	dictionnaire	Wörterbuch	dictionary
"Dieu "	Q190	https://www.wikidata.org/wiki/Q190	Dieu	Gott	God
dilettantisme	Q16027925	https://www.wikidata.org/wiki/Q16027925	x	Dilettantismus	dilettantism
Domestique	Q54128	https://www.wikidata.org/wiki/Q54128	domestique	Hauspersonal	domestic worker
scepticisme	Q1395219	https://www.wikidata.org/wiki/Q1395219	scepticisme	Skeptizismus	"skepticism "
"Drame "	Q25372	https://www.wikidata.org/wiki/Q25372	drame	Drama	drama
Droit naturel	Q29524	https://www.wikidata.org/wiki/Q29524	Droit naturel	Naturrecht	Natural law
droits de l'homme	Q8458	https://www.wikidata.org/wiki/Q8458	droits humains	Menschenrechte	human rights
"Droit public "	Q207892	https://www.wikidata.org/wiki/Q207892	droit public	öffentliches Recht	Public law
"éclectisme "	Q192068	https://www.wikidata.org/wiki/Q192068	éclecticisme	Eklektizismus	eclecticism
économie	Q159810	https://www.wikidata.org/wiki/Q159810	économie	Wirtschaft	economy
"Écosse "	Q22	https://www.wikidata.org/wiki/Q22	Écosse	Schottland	Scotland
éducation	Q8434	https://www.wikidata.org/wiki/Q8434	éducation	Ausbildung	education
égalité	Q773009	https://www.wikidata.org/wiki/Q773009	égalité	Gleichheit	equality
égyptomanie	Q254272	https://www.wikidata.org/wiki/Q254272	égyptomanie	Ägyptomanie	egyptomania
"électricité "	Q12725	https://www.wikidata.org/wiki/Q12725	"électricité "	Elektrizität	electricity
"éloquence "	Q1489271	https://www.wikidata.org/wiki/Q1489271	"éloquence "	Sprachfertigkeit	eloquence
"Empirisme "	Q83368	https://www.wikidata.org/wiki/Q83368	empirisme	Empirismus	empiricism
"encyclopédie "	Q5292	https://www.wikidata.org/wiki/Q5292	"encyclopédie "	Enzyklopädie	encyclopedia
"énergie "	Q11379	https://www.wikidata.org/wiki/Q11379	"énergie "	Energie	energy
"Enfance "	Q276258	https://www.wikidata.org/wiki/Q276258	Enfance	Kindheit	childhood
"Enthousiasme "	Q840407	https://www.wikidata.org/wiki/Q840407	enthousiasme	Enthusiasmus	enthusiasm
épicurisme	Q179541	https://www.wikidata.org/wiki/Q179541	épicurisme	Epikureismus	epicureanism
érotisme	Q3519050	https://www.wikidata.org/wiki/Q3519050	érotisme	Erotik	eroticism
"Esclavage "	Q8463	https://www.wikidata.org/wiki/Q8463	esclavage	Sklaverei	slavery
Espagne	Q29	https://www.wikidata.org/wiki/Q29	Espagne	Spanien	Spain
"Espèce "	Q7432	https://www.wikidata.org/wiki/Q7432	Espèce	Art	species
"Essai "	Q35760	https://www.wikidata.org/wiki/Q35760	Essai	Essay	essay
"esthétique "	Q35986	https://www.wikidata.org/wiki/Q35986	"esthétique "	Ästhetik	aesthetics
état	Q7275	https://www.wikidata.org/wiki/Q7275	état	Staat	state
"Europe "	Q46	https://www.wikidata.org/wiki/Q46	europe	Europa	europe
"Fable "	Q693	https://www.wikidata.org/wiki/Q693	fable	Fabel	fable
"Famille "	Q8436	https://www.wikidata.org/wiki/Q8436	famille	Familie	family
"Fanatisme "	Q489750	https://www.wikidata.org/wiki/Q489750	fanatisme	Fanatismus	fanatacism
"féminisme "	Q7252	https://www.wikidata.org/wiki/Q7252	"féminisme "	Feminismus	feminism
Femme de lettres	Q381353	https://www.wikidata.org/wiki/Q381353	"femme de lettres "	Briefkorrespondentin	woman of letters
féodalité	Q37739	https://www.wikidata.org/wiki/Q37739	féodalité	Feudalismus	feudalism
"fête "	Q200538	https://www.wikidata.org/wiki/Q200538	"fête "	Fest	party
finance	Q43015	https://www.wikidata.org/wiki/Q43015	Finance	Finanzen	finance
"foire "	Q288514	https://www.wikidata.org/wiki/Q288514	Foire	Jahrmarkt	fair
folie	Q505619	https://www.wikidata.org/wiki/Q505619	folie	Wahnsinn	insanity
"franc-maçonnerie "	Q41726	https://www.wikidata.org/wiki/Q41726	franc-maçonnerie	Freimaurerei	freemasonry
"France "	Q142	https://www.wikidata.org/wiki/Q142	"France "	Frankreich	"France "
génération	Q213381	https://www.wikidata.org/wiki/Q213381	génération	Generation	generation
"génie "	Q185030	https://www.wikidata.org/wiki/Q185030	"génie "	Genie	genius
"géographie "	Q1071	https://www.wikidata.org/wiki/Q1071	"géographie "	Geographie	Geography
"géologie "	Q1069	https://www.wikidata.org/wiki/Q1069	"géologie "	Geologie	geology
"géométrie "	Q8087	https://www.wikidata.org/wiki/Q8087	"géométrie "	Geometrie	geometry
"(art) gothique "	Q46825	https://www.wikidata.org/wiki/Q46825	(Art) gothique	Gotik	Gothic (art)
"goût "	Q1143012	https://www.wikidata.org/wiki/Q1143012	"goût "	Geschmack	taste
"Gouvernement "	Q7188	https://www.wikidata.org/wiki/Q7188	gouvernement	Regierung	government
"Grammaire "	Q8091	https://www.wikidata.org/wiki/Q8091	grammaire	Grammatik	grammar
"Grand Tour "	Q6682302	https://www.wikidata.org/wiki/Q6682302	Grand Tour	Grand Tour	Grand Tour
"Grotesque "	Q218248	https://www.wikidata.org/wiki/Q218248	Grotesque	Groteske	Grotesque
Guerre	Q198	https://www.wikidata.org/wiki/Q198	guerre	Krieg	war
paix	Q454	https://www.wikidata.org/wiki/Q454	paix	Frieden	peace
contingence	Q1359069	https://www.wikidata.org/wiki/Q1359069	contingence	Kontingenz	contingency
héros	Q162244	https://www.wikidata.org/wiki/Q162244	héros	Held	hero
"Histoire "	Q309	https://www.wikidata.org/wiki/Q309	histoire	Geschichte	history
"Histoire naturelle "	Q484591	https://www.wikidata.org/wiki/Q484591	Histoire naturelle	Naturgeschichte	Natural history
"Hollande "	Q55	https://www.wikidata.org/wiki/Q55	Pays-Bas	Niederlande	Netherlands
"Hongrie "	Q28	https://www.wikidata.org/wiki/Q28	Hongrie	Ungarn	Hungary
hôpital	Q16917	https://www.wikidata.org/wiki/Q16917	hôpital	Krankenhaus	hospital
temps	Q11471	https://www.wikidata.org/wiki/Q11471	temps	Zeit	time
idéal	Q840396	https://www.wikidata.org/wiki/Q840396	idéal	Ideal	ideal
"idée "	Q131841	https://www.wikidata.org/wiki/Q131841	"idée "	Idee	idea
idéologie	Q7257	https://www.wikidata.org/wiki/Q7257	idéologie	Ideologie	ideology
"idolâtrie "	Q840665	https://www.wikidata.org/wiki/Q840665	"idolâtrie "	Götze	Idolatry
Ile	Q23442	https://www.wikidata.org/wiki/Q23442	ile	Insel	island
"Illustration "	Q178659	https://www.wikidata.org/wiki/Q178659	"Illustration "	Illustration	"Illustration "
"Imagination "	Q34516	https://www.wikidata.org/wiki/Q34516	"Imagination "	Imagination	"Imagination "
"imitation "	Q1131737	https://www.wikidata.org/wiki/Q1131737	"Imitation "	Nachahmung	"Imitation "
"imprimerie "	Q11034	https://www.wikidata.org/wiki/Q11034	Imprimerie	Buchdruck	printing
"industrialisation "	Q202398	https://www.wikidata.org/wiki/Q202398	"Industrialisation "	Industrialisierung	industrialization
"inspiration "	Q196668	https://www.wikidata.org/wiki/Q196668	inspiration	Inspiration	Artistic inspiration
"intérêt "	Q170924	https://www.wikidata.org/wiki/Q170924	"intérêt "	Zins	interest
"ironie "	Q131361	https://www.wikidata.org/wiki/Q131361	ironie	Ironie	irony
"Islam "	Q432	https://www.wikidata.org/wiki/Q432	Islam	Islam	Islam
"Italie "	Q38	https://www.wikidata.org/wiki/Q38	Italie	Italien	Italy
"Japon "	Q17	https://www.wikidata.org/wiki/Q17	Japon	Japan	Japan
jardin	Q1107656	https://www.wikidata.org/wiki/Q1107656	jardin	Garten	garden
jésuite	Q63173086	https://www.wikidata.org/wiki/Q63173086	jésuite	Jesuit	jesuit
"journalisme "	Q11030	https://www.wikidata.org/wiki/Q11030	journalisme	Journalismus	journalism
"Judaïsme "	Q9268	https://www.wikidata.org/wiki/Q9268	"Judaïsme "	Judentum	Judaism
justice	Q105985	https://www.wikidata.org/wiki/Q105985	Pouvoir judicaire	Judikative	judiciary
"Prison "	Q40357	https://www.wikidata.org/wiki/Q40357	prison	Gefängnis	prison
laïcisation	Q3220108	https://www.wikidata.org/wiki/Q3220108	laïcisation		laicisation
laideur	Q1415055	https://www.wikidata.org/wiki/Q1415055	laideur	Hässlichkeit	ugliness
"difformité "	Q1182746	https://www.wikidata.org/wiki/Q1182746	"difformité "	Deformität	deformity
"langue "	Q34770	https://www.wikidata.org/wiki/Q34770	"langue "	Einzelsprache	language
"libéralisme "	Q6216	https://www.wikidata.org/wiki/Q6216	Libéralisme classique	Liberalismus	Classic liberalism
liberté	Q2979	https://www.wikidata.org/wiki/Q2979	liberté	Freiheit	liberty
libertinage	Q18915146	https://www.wikidata.org/wiki/Q18915146	libertinage	Libertinismus	libertinsime
"littérature clandestine "	Q3821764	https://www.wikidata.org/wiki/Q3821764	"Littérature clandestine "		Clandestine literature
livre	Q571	https://www.wikidata.org/wiki/Q571	livre	Buch	Book
lecture	Q199657	https://www.wikidata.org/wiki/Q199657	lecture	Lesen	lecture
"lumières "	Q2512021	https://www.wikidata.org/wiki/Q2512021	"lumières "	Vordenker der Aufklärung	lumières
"luxe "	Q10953913	https://www.wikidata.org/wiki/Q10953913	Luxe	Luxus	luxury
machine	Q11019	https://www.wikidata.org/wiki/Q11019	machine	Maschine	machine
"magnétisme "	Q3294789	https://www.wikidata.org/wiki/Q3294789	"magnétisme "	Magnetismus	magnetism
"masque "	Q161524	https://www.wikidata.org/wiki/Q161524	masque	Maske	mask
"matérialisme "	Q7081	https://www.wikidata.org/wiki/Q7081	"matérialisme "	Materialismus	materialism
mathématiques	Q395	https://www.wikidata.org/wiki/Q395	mathématiques	Mathematik	mathematics
mécanique	Q41217	https://www.wikidata.org/wiki/Q41217	mécanique	Mechanik	mechanics
"médecine "	Q11190	https://www.wikidata.org/wiki/Q11190	"médecine "	Medizin	medicine
"mélancolie "	Q192077	https://www.wikidata.org/wiki/Q192077	"mélancolie "	Melancholie	melancholia
métaphysique	Q35277	https://www.wikidata.org/wiki/Q35277	métaphysique	Metaphysik	metaphysics
migration	Q177626	https://www.wikidata.org/wiki/Q177626	migration	Migration	"human migration "
