				P8	P52	P59	FR	EN	DE						P25	P2	P2RP14
Corse	Corsica	Korsika	Q14112	https://www.wikidata.org/wiki/Q14112		42.15,9.0833333333333	Corse	Corsica	Korsika								
France	France	Frankreich	Q142	https://www.wikidata.org/wiki/Q142		47,2	France	France	Frankreich	BGRF/DEL	exact match						
Nord de la France	Northern France		Q14201393	https://www.wikidata.org/wiki/Q14201393		49.95122,1.779785	Nord de la France	Northern France									
Tage	Tagus river	Tajo	Q14294	https://www.wikidata.org/wiki/Q14294		40.3197,-1.6975	Tage	Tagus river	Tajo								
Mérida	Mérida	Mérida	Q14323	https://www.wikidata.org/wiki/Q14323		38.915833333333,-6.3333333333333	Mérida	Mérida	Mérida								
Zante	Zakynthos	Zakynthos	Q144880	https://www.wikidata.org/wiki/Q144880		37.8,20.75	Zante	Zakynthos	Zakynthos								
Gênes	Genoa	Genua	Q1449	https://www.wikidata.org/wiki/Q1449		44.407186111111,8.9339833333333	Gênes	Genoa	Genua								
Royaume-Uni	United Kingdom	Vereinigtes Königreich	Q145	https://www.wikidata.org/wiki/Q145		54.6,-2	Royaume-Uni	United Kingdom	Vereinigtes Königreich								
Calabre	Calabria	Kalabrien	Q1458	https://www.wikidata.org/wiki/Q1458		39,16.5	Calabre	Calabria	Kalabrien								
Sicile	Sicily	Autonome Region Sizilien	Q1460	https://www.wikidata.org/wiki/Q1460		37.599958333333,14.015377777778	Sicile	Sicily	Autonome Region Sizilien								
Loire	Loire	Loire	Q1469	https://www.wikidata.org/wiki/Q1469		44.841666666667,4.2186111111111	Loire	Loire	Loire								
Seine	Seine	Seine	Q1471	https://www.wikidata.org/wiki/Q1471		49.434722222222,0.1175	Seine	Seine	Seine								
Bordeaux	Bordeaux	Bordeaux	Q1479	https://www.wikidata.org/wiki/Q1479		44.837777777778,-0.57944444444444	Bordeaux	Bordeaux	Bordeaux								
République populaire de Chine	People's Republic of China	Volksrepublik China	Q148	https://www.wikidata.org/wiki/Q148		35.844722222222224,103.45194444444445	République populaire de Chine	People's Republic of China	Volksrepublik China								
