DEL komplett + Topic Modeling	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (en)
Capitalisme 	Q6206	https://www.wikidata.org/wiki/Q6206	Capitalisme	capitalism
Caricature 	Q482919	https://www.wikidata.org/wiki/Q482919	caricature	caricature
cartographie	Q42515	https://www.wikidata.org/wiki/Q42515	cartographie	cartography
castration	Q58929	https://www.wikidata.org/wiki/Q58929	castration	castration
Catholicisme 	Q1841	https://www.wikidata.org/wiki/Q1841	catholicisme	catholicism
Censure 	Q5058947	https://www.wikidata.org/wiki/Q5058947	Censure	censure
Chaleur 	Q44432	https://www.wikidata.org/wiki/Q44432	chaleur	heat
Chanson 	Q7366	https://www.wikidata.org/wiki/Q7366	chanson	song
Chimie 	Q2329	https://www.wikidata.org/wiki/Q2329	Chimie	chemistry
Chine 	Q29520	https://www.wikidata.org/wiki/Q29520	chine	china
Chirurgie 	Q40821	https://www.wikidata.org/wiki/Q40821	Chirurgie	surgery
citoyennet� 	Q42138	https://www.wikidata.org/wiki/Q42138	citoyennet� 	citizenship
Civilisation	Q8432	https://www.wikidata.org/wiki/Q8432	Civilisation	civilization
Classe sociale	Q187588	https://www.wikidata.org/wiki/Q187588	Classe sociale	social class
Classicisme	Q170292	https://www.wikidata.org/wiki/Q170292	classicisme	classicism 
Classification 	Q13582682	https://www.wikidata.org/wiki/Q13582682		Classific
Clerg�	Q177826	https://www.wikidata.org/wiki/Q177826	Clerg�	clergy
curiosit� 	Q7167	https://www.wikidata.org/wiki/Q366791	curiosit�	curiosity
Colonialisme	Q7167	https://www.wikidata.org/wiki/Q7167	Colonialisme	colonialism
colportage	Q154273	https://www.wikidata.org/wiki/Q154273	colportage	colportage
Com�die 	Q40831	https://www.wikidata.org/wiki/Q40831	Com�die	comedy
Commedia dell'arte 	Q191890	https://www.wikidata.org/wiki/Q191890	Commedia dell'arte	Commedia dell'arte
Commerce 	Q26643	https://www.wikidata.org/wiki/Q26643	Commerce	commerce
village	Q532	https://www.wikidata.org/wiki/Q532	village	village
Confr�rie 	Q992253	https://www.wikidata.org/wiki/Q992253	confr�rie	confraternity
Conte 	Q7679101	https://www.wikidata.org/wiki/Q7679101	Conte	conte
Contrat social 	Q1326430	https://www.wikidata.org/wiki/Q1326430	contrat coscial	social contract
Contre-R�volution 	Q755138	https://www.wikidata.org/wiki/Q755138	Contre-r�volution	counter-revolution
Conversation 	Q52943	https://www.wikidata.org/wiki/Q52943	conversation	conversation
Corporation	Q170161	https://www.wikidata.org/wiki/Q170161	guild	corporation
Corps 	Q170494	https://www.wikidata.org/wiki/Q170494	corps	body
Correspondance 	Q1784733	https://www.wikidata.org/wiki/Q1784733	correspondance	correspondence
